state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,dateModified,dateChecked
LA,837,1,1,1,1,B,4,2661,,,20,3498,3/22 10:00,3/22 16:38,2020-03-22T14:00:00Z,2020-03-22T20:38:00Z
MA,646,1,1,0,1,B,3,5482,,71,5,6128,3/22 16:00,3/22 16:56,2020-03-22T20:00:00Z,2020-03-22T20:56:00Z
MD,244,1,0,0,0,D,1,94,,,3,338,3/22 10:00,3/22 16:40,2020-03-22T14:00:00Z,2020-03-22T20:40:00Z
ME,89,1,1,1,1,A,4,2264,,,,2353,3/22 12:15,3/23 02:30,2020-03-22T16:15:00Z,2020-03-23T06:30:00Z
MI,1035,1,0,0,0,D,1,2069,,,8,3104,3/22 15:00,3/22 16:19,2020-03-22T19:00:00Z,2020-03-22T20:19:00Z
MN,169,1,1,1,1,A,4,4511,,12,1,4680,3/22 00:00,3/23 01:36,2020-03-22T04:00:00Z,2020-03-23T05:36:00Z
MO,106,1,1,0,0,C,2,369,,,3,475,3/22 21:45,3/23 01:44,2020-03-23T01:45:00Z,2020-03-23T05:44:00Z
MS,207,1,1,1,0,B,3,1114,,33,1,1321,3/22 11:20,3/23 02:04,2020-03-22T15:20:00Z,2020-03-23T06:04:00Z
MT,34,1,1,0,0,C,2,1146,,,,1180,3/22 18:30,3/23 02:03,2020-03-22T22:30:00Z,2020-03-23T06:03:00Z
NC,255,1,1,1,1,A,4,6183,,,0,6438,3/22 10:16,3/22 16:44,2020-03-22T14:16:00Z,2020-03-22T20:44:00Z
ND,28,1,1,1,0,B,3,1260,,3,0,1288,3/22 11:39,3/22 15:41,2020-03-22T15:39:00Z,2020-03-22T19:41:00Z
NE,50,1,1,1,1,A,4,356,,,0,406,3/21 00:00,3/23 02:32,2020-03-21T04:00:00Z,2020-03-23T06:32:00Z
NH,78,1,1,1,0,B,3,1374,889,,,2341,3/22 09:00,3/23 01:56,2020-03-22T13:00:00Z,2020-03-23T05:56:00Z
NJ,1914,1,1,1,0,B,3,327,49,,20,2290,3/22 13:30,3/22 16:43,2020-03-22T17:30:00Z,2020-03-22T20:43:00Z
NM,65,1,1,1,1,A,4,5321,,,,5386,3/22 00:00,3/23 02:34,2020-03-22T04:00:00Z,2020-03-23T06:34:00Z
NV,190,1,1,1,1,A,4,2448,,,2,2638,3/21 14:00,3/23 01:50,2020-03-21T18:00:00Z,2020-03-23T05:50:00Z
NY,15168,1,1,0,1,B,3,46233,,1974,114,61401,3/22 11:00,3/22 15:15,2020-03-22T15:00:00Z,2020-03-22T19:15:00Z
OH,351,1,0,0,0,D,1,140,,83,3,491,3/20 14:00,3/22 16:13,2020-03-20T18:00:00Z,2020-03-22T20:13:00Z
OK,67,1,1,1,1,A,4,669,102,11,2,838,3/22 08:00,3/22 15:38,2020-03-22T12:00:00Z,2020-03-22T19:38:00Z
OR,161,1,1,1,1,A,4,2864,,43,4,3025,3/22 11:00,3/22 15:53,2020-03-22T15:00:00Z,2020-03-22T19:53:00Z
PA,479,1,1,1,1,A,4,4964,,,2,5443,3/22 12:00,3/22 16:14,2020-03-22T16:00:00Z,2020-03-22T20:14:00Z
RI,83,1,1,1,0,B,3,932,216,,,1231,3/22 15:25,3/22 15:45,2020-03-22T19:25:00Z,2020-03-22T19:45:00Z
SC,195,1,1,1,1,A,4,1466,,,3,1661,3/22 15:40,3/22 16:10,2020-03-22T19:40:00Z,2020-03-22T20:10:00Z
