AL,4/4/20
AK,28/3/20
AZ,31/3/20
CA,19/3/20
CO,26/3/20
CT,23/3/20
DE,24/3/20
DC,1/4/20
FL,3/4/20
GA,3/4/20
HI,25/3/20
ID,25/3/20
IL,21/3/20
IN,24/3/20
KS,30/3/20
KY,26/3/20
LA,23/3/20
ME,2/4/20
MD,30/3/20
MA,24/3/20
MI,24/3/20
MN,27/3/20
MS,3/4/20
MO,6/4/20
MT,28/3/20
NV,1/4/20
NH,27/3/20
NJ,21/3/20
NM,24/3/20
NY,22/3/20
NC,30/3/20
OH,23/3/20
OR,23/3/20
PA,1/4/20
PR,15/3/20
RI,28/3/20
SC,7/4/20
TN,31/3/20
TX,2/4/20
VT,25/3/20
VA,30/3/20
WA,23/3/20
WV,24/3/20
WI,25/3/20
WY,28/3/20
